Facility_Name,Doctor_Name,Staff_Rating,Punctuality_Rating,Helpfulness_Rating,Knowledge_Rating
Dana Dicostanzo Clinic Ithaca,Dana Dicostanzo,0,0,0,0
"Andrew P. Rice, Phd",Andrew P. Rice,0,0,0,0
Delia Kenkel Clinic Ithaca,Dr. Delia Kenkel,0,0,0,0
"Deborah Corey, Lac",Deborah Corey,0,0,0,0
Natural Health Family Chiropractic,Dr. Gerrit Vanloon,0,0,0,0
Natural Health Family Chiropractic,Dr. Meghan Van Loon,0,0,0,0
Fingerlakes Endodontics,Dr. Jamie S. Gartenberg,0,0,0,0
"Robert C. Hackman, Msac",Robert C. Hackman,5.0,5.0,5.0,5.0
Martha Catalfamo Dmd Dentist,Dr. Martha D. Catalfamo,5.0,5.0,5.0,5.0
"Penelope A. Krainin, Phd",Penelope A. Krainin,0,0,0,0
Acahti Dental,Dr. Richard D. Oberly,3.0,2.0,3.0,3.0
Christine C. Lee Clinic Ithaca,Christine C. Lee,0,0,0,0
Radiology Associates Of Ithaca,Dr. Anthony F. Massi,0,0,0,0
Gannett Health Center,Dr. Angela J. Rubineau,0,0,0,0
Orthopedic Services Of Cma,Dr. Brett Young,0,0,0,0
Chiropractic Associates,Dr. Wilfred B. Graham,0,0,0,0
James W Fey Dmd Pc,Dr. James W. Fey,3.3333333333333335,3.0,1.3333333333333333,3.0
Pierce Kathryn A,Kathryn A. Pierce,5.0,5.0,5.0,5.0
"Katherine T. Finn, Ms",Katherine T. Finn,3.0,4.0,2.0,2.0
"Sandra I. Londino, Cnm",Sandra I. Londino,0,0,0,0
Mary K. Conroy Clinic Ithaca,Dr. Mary K. Conroy,5.0,3.0,3.0,3.0
"Jeffrey P. Kadlecik, Dpm",Dr. Jeffrey P. Kadlecik,0,0,0,0
Macqueen Douglas D Md,Dr. Douglas D. Macqueen,0,0,0,0
Gannett Health Services,Joanne Basgall,0,0,0,0
Radiology Associates Of Ithaca,Dr. Walter C. Silbert,0,0,0,0
Gannett Health Services,Kenneth M. Cohen,0,0,0,0
Northeast Pediatrics,Dr. Suzanne M. Bradshaw,0,0,0,0
"Debra E. Clark, Phd",Debra E. Clark,0,0,0,0
Andrew Getzin Clinic Ithaca,Dr. Andrew Getzin,0,0,0,0
Radiology Associates Of Ithaca,Dr. Robert M. Domke,0,0,0,0
Robert Hickes Clinic Ithaca,Dr. Robert Hickes,0,0,0,0
Peter S. Schwartz Clinic Ithaca,Dr. Peter S. Schwartz,3.5,4.0,3.0,4.5
Morgan Monica L Md,Dr. Monica Morgan,4.0,4.0,5.0,5.0
Linda Radomski Clinic Ithaca,Dr. Linda Radomski,0,0,0,0
Cayuga Medical Center,Dr. Magdalena Hohn,0,0,0,0
Cayuga Anesthesia Associates,Dr. Alice Michtom,0,0,0,0
Gannett Health Center,Dr. Susan MILLER,0,0,0,0
Cayuga Anesthesia Associates,Dr. Edward J. RADIN,0,0,0,0
Ithaca Orthopaedic Group Pc,Dr. Stephanie S. Roach,3.0,3.0,2.75,3.25
Jeffrey Lewis Clinic Ithaca,Dr. Jeffrey Lewis,0,0,0,0
Eldridge Anderson Clinic Ithaca,Dr. Eldridge Anderson,0,0,0,0
"Erika C. Busch, Psyd",Erika C. Busch,0,0,0,0
Orthopedic Services Of Cma,Dr. Joseph A. Mannino,0,0,0,0
Family & Children's Services,Dr. Kristen M. Nygren,0,0,0,0
"Sea Change Family Chiropractic, Ammitai Worob, Dc",Dr. Ammitai Worob,0,0,0,0
"Marie T. Hedge, Bsc",Marie Hedge,0,0,0,0
Montgomery Suzanne S,Suzanne S. MONTGOMERY,0,0,0,0
"Mary H. Lee, Lac",Mary H. Lee,0,0,0,0
"Timothy D. Foley, Lac",Timothy D. Foley,0,0,0,0
Anne C. Jones Clinic Ithaca,Dr. Anne C. Jones,1.0,3.0,1.0,1.0
Guthrie Pediatrics,Dr. Dhruti Naik,0,0,0,0
Yale-Loehr Amy Md,Dr. Amy J. Yale-Loehr,0,0,0,0
Thomas Herbert E Md,Dr. Herbert E. Thomas,0,0,0,0
Ithaca Urology,Dr. Sanjeev Vohra,3.5,3.5,3.5,4.0
Cayuga Anesthesia Associates,Dr. Richard Allen,0,0,0,0
"Coleen M. Osborne, Lac",Coleen M. Osborne,0,0,0,0
Guthrie Allergy,Dr. Donna R. Sandidge,0,0,0,0
Adam Law,Dr. Katherine W. Williams,0,0,0,0
Peter Brennan Clinic Ithaca,Dr. Peter Brennan,0,0,0,0
Radiology Associates Of Ithaca,Dr. David G. Fellows,0,0,0,0
Strayhorn Joseph Md,Dr. Joseph M. Strayhorn,0,0,0,0
Oo H. Kyong Clinic Ithaca,Dr. Oo H. Kyong,5.0,5.0,5.0,5.0
Pathology Associates Of Ithaca,Dr. Daniel Sudilovsky,5.0,5.0,5.0,5.0
"Daniel S. Jorgenson, Md - Finger Lakes Plastic Surgery",Dr. Daniel S. Jorgenson,0,0,0,0
Radiology Associates Of Ithaca,Dr. Richard W. Murray,4.833333333333333,5.0,5.0,5.0
James Gaffney Clinic Ithaca,Dr. James Gaffney,0,0,0,0
Radiology Associates Of Ithaca,Dr. Kim Hwang,0,0,0,0
William Phillips Clinic Ithaca,Dr. William Phillips,0,0,0,0
Northeast Pediatrics,Dr. John A. Bradshaw,1.0,3.0,1.0,1.0
Ithaca College,Dr. David E. Newman,0,0,0,0
Anthony Sanito Clinic Ithaca,Dr. Anthony Sanito,0,0,0,0
Carroll William Md,Dr. William CARROLL,0,0,0,0
Radiology Associates Of Ithaca,Dr. Marc Jouandet,0,0,0,0
Family Medicine Associates,Dr. Neil F. Shallish,0,0,0,0
Cayuga Anesthesia Associates,Dr. Fredric Kardon,0,0,0,0
Morpurgo Andrew J Office,Dr. Andrew J. Morpurgo,2.6666666666666665,1.3333333333333333,1.0,1.0
Family Medicine Associates,Dr. Karen Laface,0,0,0,0
Asthma & Allergy Associates Pc,Dr. RIZWAN Khan,3.3333333333333335,2.0,2.6666666666666665,3.3333333333333335
Gannett Health Services,Dr. David Wentzel,0,0,0,0
Ithaca Dermatology,Dr. Kimberly J. Silvers,3.6666666666666665,3.6666666666666665,2.0,2.3333333333333335
Bates Paul E Md,Dr. Paul E. Bates,0,0,0,0
Michael R. Slattery Clinic Ithaca,Dr. Michael R. Slattery,3.0,3.5,2.0,4.0
Cayuga Anesthesia Associates,Dr. Stephen J. Meyer,0,0,0,0
Cayuga Anesthesia Associates,Dr. Anthony Sanito,0,0,0,0
Fall Creek Family Dentistry,Dr. Kristna Kapur,2.4,2.2,2.4,2.4
Dibble Laura Md,Dr. Laura S. Dibble,0,0,0,0
Cayuga Neurological Services,Dr. James S Gaffney,2.5,2.5,2.0,2.5
Gannett Health Center,Dr. Stephen J. Hughes,0,0,0,0
Family Medicine Associates,Dr. Wallace Baker,4.285714285714286,4.0,5.0,5.0
Snyder Stacy,Stacy Snyder,5.0,5.0,5.0,5.0
Srisatish Devapatla Clinic Ithaca,Dr. Srisatish Devapatla,0,0,0,0
Cayuga Facial Surgery,Dr. Jeffrey S. Lewis,5.0,5.0,5.0,5.0
Every Woman's Care,Dr. Rudy P. Fedrizzi,5.0,4.0,5.0,4.0
Ithaca College,Dr. Christine V. Lorenzo,0,0,0,0
John-Paul D. Mead Clinic Ithaca,Dr. John-Paul D. Mead,3.4,2.9,2.8,2.9
Costello & Costello,Dr. John E. Costello,0,0,0,0
Mason Stilwell Clinic Ithaca,Dr. Mason Stilwell,3.0,3.0,1.0,1.0
Gannett Health Services,Dr. Robert Mendola,3.0,2.0,1.0,1.0
Guthrie Internal Medicine,Dr. Matthew R. Estill,4.0,4.0,3.6666666666666665,3.3333333333333335
Auguste L. Duplan Clinic Ithaca,Dr. Auguste L. Duplan,0,0,0,0
Gannett Health Services,Dr. James Macmillan,0,0,0,0
Serena H. Yoon Clinic Ithaca,Dr. Serena H. Yoon,4.142857142857143,4.714285714285714,4.428571428571429,4.714285714285714
Comprehensive Dentistry,Dr. Mavis Ng,0,0,0,0
Ronald Leifer Clinic Ithaca,Dr. Ronald Leifer,0,0,0,0
Surgical Associates Of Ithaca,Dr. John A. Mecenas,5.0,5.0,5.0,5.0
Northeast Pediatrics,Dr. Jeffrey D. Snedeker,5.0,4.666666666666667,5.0,5.0
Lempert Philip Md,Dr. Phillip Lempert,5.0,4.5,5.0,5.0
Buttermilk Falls Pediatrics,Dr. Jessica L. Casey,4.333333333333333,3.6666666666666665,5.0,5.0
Deeply Devoted Massage,Dr. Rebecca Price,5.0,3.0,3.0,4.0
Barbara A. White Clinic Ithaca,Barbara A. White,0,0,0,0
"Elizabeth Hoffmeier, Np",Elizabeth Hoffmeier,0,0,0,0
Family Medicine Associates,Dr. Alan T. Midura,4.5,4.75,5.0,5.0
Cayuga Family Medicine,Lisa M. Clauson,0,0,0,0
"Karen F. Haesloop, Fnp",Karen F. Haesloop,0,0,0,0
Jennifer Metzgar Clinic Ithaca,Jennifer Metzgar,0,0,0,0
Newell Joan Md,Dr. Joan Newell,0,0,0,0
"Deanna H. Berman, Nd",Deanna Berman,0,0,0,0
Elizabeth Brandstetter Clinic Ithaca,Dr. Elizabeth Brandstetter,0,0,0,0
Wilson Suzanne V,Suzanne Wilson,0,0,0,0
Sarah E. Moskey Clinic Ithaca,Dr. Sarah E. Moskey,0,0,0,0
Patrick C. Schloupt Clinic Ithaca,Dr. Patrick C. Schloupt,0,0,0,0
Ithaca Medical Group,Dr. Lawrence P. Endo,3.923076923076923,4.153846153846154,3.230769230769231,3.6153846153846154
Arleo Eye Associates,Dr. Robert J. Arleo,3.0625,3.3125,2.3125,2.6875
Patricia A. Cornell Clinic Ithaca,Patricia A. Cornell,0,0,0,0
Richard & Mc Cutcheon,Dr. Melzar T. Richards,4.0,4.8,4.2,4.6
Hannah L. Young Clinic Ithaca,Hannah L. Young,0,0,0,0
"Debra Lavigne, Np",Debra Lavigne,0,0,0,0
Catherine B. Eckenrode Clinic Ithaca,Catherine B. Eckenrode,0,0,0,0
Margery Holman Clinic Ithaca,Dr. Margery Holman,0,0,0,0
Ithaca Cardiology Associates,Dr. Lynn B. Swisher,0,0,0,0
Tele-Physicians,Dr. Risa Cyr,0,0,0,0
Gannett Health Services,Dr. Edward Koppel,0,0,0,0
Jane Schantz Clinic Ithaca,Jane Schantz,0,0,0,0
Lindsey R. Petrie Clinic Ithaca,Lindsey R. Petrie,0,0,0,0
"Shannon L. Zinn, Fnp",Shannon L. Zinn,0,0,0,0
Retired,Joan M. Cain,4.5,5.0,5.0,5.0
Brian Bollo Clinic Ithaca,Dr. Brian Bollo,0,0,0,0
"Kelly Proper, Np",Kelly Proper,0,0,0,0
Lucy F. Chapin Clinic Ithaca,Lucy F. Chapin,0,0,0,0
"Theresa M. Kalb, Np",Theresa M. Kalb,0,0,0,0
Daniel Sudilovsky Clinic Ithaca,Dr. Daniel Sudilovsky,0,0,0,0
Cayuga Ent Head & Neck Surger,Dr. Joseph E Bialobreski,0,0,0,0
Cayuga Ent Head & Neck Surger,Deirdre A. Uldrich,0,0,0,0
"Dr. Andrew R. Getzin, Md",Dr. Joesph Manino,0,0,0,0
Schaeffer Marcy,Marcy Schaeffer,0,0,0,0
Cayuga Anesthesia Associates,Dr. Mattison A. Burt,0,0,0,0
Goodreau Sueane,Sueane Goodreau,0,0,0,0
Arleo Eye Associates,Dr. Melissa C. Oltz,0,0,0,0
Wilhelm Hansen Clinic Ithaca,Dr. Wilhelm Hansen,0,0,0,0
"John C. Comisi, D.d.s. - Dental Care With A Difference, Pc",Dr. John C. Comisi,0,0,0,0
Wilhelm Hansen Clinic Ithaca,Dr. Wilhelm Hansen,0,0,0,0
Richards And Mccutcheon,Dr. Richard S. Mccutcheon,1.0,1.0,1.0,1.0
"Nancy Stewart,m.d.",Dr. Nancy B. Stewart,5.0,5.0,5.0,5.0
Ithaca Medical Group,Dr. Charles L. Garbo,1.0,1.0,1.0,3.0
Retired,Dr. Robert G. Hickes,0,0,0,0
Raymond H. Terepka Clinic Ithaca,Dr. Raymond H. Terepka,0,0,0,0
Andrew Lindell Clinic Ithaca,Dr. Andrew Lindell,3.0,3.0,3.0,3.0
Thomas L. Shields Clinic Ithaca,Dr. Thomas L. Shields,4.25,5.0,5.0,4.5
Carol B. Booth Clinic Ithaca,Dr. Carol B. Booth,0,0,0,0
Ronald Michael R,Michael R. Ronald,0,0,0,0
Ithaca Urology,Dr. Catherine J. Husa,0,0,0,0
Jennifer H. Gunn Clinic Ithaca,Dr. Jennifer H. Gunn,0,0,0,0
Adam Law Clinic Ithaca,Dr. Adam Law,0,0,0,0
Northeast Pediatrics,Dr. Andrea G. Torrado,0,0,0,0
Buttermilk Falls Pediatrics,Dr. Janusz Sendek,0,0,0,0
Jane C. Kennedy Clinic Ithaca,Jane C. Kennedy,0,0,0,0
Gerson Henry D Md,Dr. Henry D. Gerson,4.0,4.0,3.0,3.5
Ob-Gyn Associates Of Ithaca,Dr. STEVEN A. Gelber,3.0,3.8,3.6,3.8
Buttermilk Falls Pediatrics,Dr. Amitabh Shrivastava,0,0,0,0
Progressive Neurosurgery,Dr. Barry J. Pollack,0,0,0,0
Cayuga Cardiology,Dr. Stephanie L. Goodwin,0,0,0,0
Guthrie Medical Group,Sharon S. Kozlowski,0,0,0,0
Ithaca Free Clinic,Dr. Susan B. Soboroff,0,0,0,0
Cayuga Cardiology,Dr. Qutaybeh S. Maghaydah,3.0,4.0,1.0,3.0
Carl Kilgore Clinic Ithaca,Dr. Carl Kilgore,0,0,0,0
Cayuga Family Medicine,Dr. James C. Loehr,5.0,5.0,5.0,5.0
Florida Premier Medical Care,Dr. Fred W. Frankenberg,2.75,3.0,3.0,3.5
Breggin Peter Md,Dr. Peter R. Breggin,5.0,5.0,5.0,5.0
Purdy Pc,Dr. Marc Purdy,0,0,0,0
Elizabeth Von Felten Clinic Ithaca,Dr. Elizabeth Von Felten,4.333333333333333,4.333333333333333,5.0,5.0
Alise Chiropractic Health & Wellness,Dr. James N. Alise,0,0,0,0
Cayuga Neurological Services,Dr. Susan R. Cowdery,4.166666666666667,3.6666666666666665,3.0,3.3333333333333335
Bezirganian John Md,Dr. John B. Bezirganian,5.0,5.0,4.666666666666667,5.0
Gannett Health Services,Dr. Alexandra Hall,5.0,5.0,5.0,5.0
Cayuga Cardiology,Dr. Jonathan F. Mauser,0,0,0,0
Guthrie Clinic,Dr. Jacob W. Skezas,0,0,0,0
Barbara Butler Clinic Ithaca,Dr. Barbara Butler,0,0,0,0
Bezirganian Sophia Md,Dr. Sophia Bezirganian,0,0,0,0
Guthrie Family Medicine,Dr. Valentina V. Galyanova,3.25,3.0833333333333335,2.0,2.25
Andrew Getzin Clinic Ithaca,Dr. Andrew Getzin,0,0,0,0
David P. Cedarbaum Clinic Ithaca,Dr. David P. Cedarbaum,0,0,0,0
John C. Cusick Clinic Ithaca,Dr. John C. Cusick,0,0,0,0
Ithaca Medical Group,Dr. Julie Campbell,0,0,0,0
Jada Hamilton Clinic Ithaca,Dr. Jada Hamilton,0,0,0,0
"Leslie D. Byron, Phd",Leslie D. Byron,0,0,0,0
Elliott Steven J Md,Dr. Steven J. Elliott,0,0,0,0
"Judith I. Raabe, Phd",Judith I. Raabe,3.272727272727273,3.6363636363636362,2.8181818181818183,2.909090909090909
Advanced Dental Technology,Dr. Marcia S. Zax,5.0,5.0,5.0,5.0
Marne O'shae Md,Dr. Marne OShae,3.2666666666666666,2.7333333333333334,3.2666666666666666,3.533333333333333
Cayuga Anesthesia Associates,Dr. William L. Munger,5.0,5.0,5.0,5.0
Fredric Kardon Clinic Ithaca,Dr. Fredric Kardon,0,0,0,0
Ungberg Stephen E Dds,Dr. Stephen E. Ungberg,0,0,0,0
Cayuga Anesthesia Associates,Dr. Joseph K. Bylebyl,5.0,5.0,5.0,5.0
Viola Monaghan Clinic Ithaca,Dr. Viola Monaghan,0,0,0,0
"Gay Nicholson, Cnm",Gay Nicholson,0,0,0,0
Keena Wilson-Hardy Clinic Ithaca,Dr. Keena Wilson-Hardy,0,0,0,0
Guthrie Pediatrics,Dr. Reilly W. Coch,0,0,0,0
Retired,Dr. Nancy Almann,0,0,0,0
Skrovan John C,John C. Skrovan,5.0,5.0,5.0,5.0
Harry J. Patrick Clinic Ithaca,Dr. Harry J. Patrick,0,0,0,0
Renee A. Ryan Clinic Ithaca,Dr. Renee A. Ryan,0,0,0,0
"Jane R. Fisher, Psyd",Jane R. Fisher,0,0,0,0
Jacob K. Felix Clinic Ithaca,Dr. Jacob K. Felix,0,0,0,0
Guthrie Gastrenterology And Hepatology,Dr. Karen C. Kim,0,0,0,0
Adam Law,Cynthia Schnedeker,0,0,0,0
Martin Ginsburg Clinic Ithaca,Dr. Martin Ginsburg,0,0,0,0
Mikowski Paul I,Paul I. Mikowski,0,0,0,0
Affiliated Psychological,William J. Hudenko,0,0,0,0
"David S. Frahm, Psychologist",David S. Frahm,4.0,4.0,3.0,3.0
Family Medicine Associates,Dr. Laurel D. Edmundson,0,0,0,0
"Barbara B. Cohen, Phd",Barbara B. Cohen,0,0,0,0
Beachum Gary H Md,Dr. Gary H. Beachum,0,0,0,0
Jake D. Veigel Clinic Ithaca,Dr. Jake D. Veigel,0,0,0,0
Ithaca Cardiology Associates: Brand Malcolm D Md,Dr. Malcom D. Brand,0,0,0,0
Cayuga Ent Head & Neck Surger,Dr. Jonathan E. Cryer,0,0,0,0
Fall Creek Family Dentistry,Dr. Luis T. Mauleon,0,0,0,0
Orthodontics Associates,Dr. Achilles M. Filios,0,0,0,0
Frederick A. Wood Clinic Ithaca,Dr. Frederick A. Wood,0,0,0,0
Radiology Associates Of Ithaca,Dr. Vinitha Kumar,0,0,0,0
Ithaca Oral Surgery & Implant,Dr. Scott Noren,4.75,4.0,4.0,4.5
J Norton Clinic Ithaca,Dr. J Norton,0,0,0,0
Terry J. Starr Clinic Ithaca,Dr. Terry J. Starr,0,0,0,0
Cayuga Family Medicine,Dr. Ellyn P. Sellers-Selin,0,0,0,0
Asthma & Allergy Associates Pc,Dr. Elliot RUBINSTEIN,0,0,0,0
Gregory Subtelny Clinic Ithaca,Dr. Gregory Subtelny,0,0,0,0
Jane M. Hunt Clinic Ithaca,Jane M. Hunt,0,0,0,0
Torin Finver Clinic Ithaca,Torin Finver,0,0,0,0
De Lima Andreia P Md,Dr. Andreia P. De Lima,0,0,0,0
"Sandra Bem, Phd",Sandra Bem,0,0,0,0
Dr. Francis T. Piliero,Dr. Francis T. Piliero,0,0,0,0
Cayuga Comprehensive Psychological,Jed H. Weitzen,1.6666666666666667,2.6666666666666665,1.6666666666666667,1.8333333333333333
Orthodontic Group Finger Lakes,Dr. Robert W. Baker,0,0,0,0
Miller Karen E Md,Dr. Karen E. Miller,0,0,0,0
Robert T Horn Jr Medical,Dr. Josephine C. Mcallister,2.625,2.9375,2.5625,2.8125
Wallace Baker Clinic Ithaca,Dr. Wallace Baker,0,0,0,0
Ithaca Cardiology Associates,Dr. Paul Stefek,3.5,3.0,4.0,5.0
Gastroenterology Associates Pc,Dr. Peter T. Brennan,2.8,2.6,1.6,2.6
"Vicki Gayle, Pt",Dr. Vicki Gayle,0,0,0,0
Tompkins Community Chiro,Dr. Randall H. Corey,0,0,0,0
Wallace Larry Od,Dr. Larry B. Wallace,0,0,0,0
Arrowhead Emergency Physicians,Dr. Yechiel A. Reit,0,0,0,0
Applied Psychophysiology Services,Edward D. Sorel,0,0,0,0
Ball State Women's Center,Dr. Kent Bullis,5.0,5.0,5.0,5.0
Toal Thomas M Md,Dr. Thomas M. Toal,0,0,0,0
Wendy D. Frickel Clinic Ithaca,Dr. Wendy D. Frickel,0,0,0,0
Morpurgo Andrew J Office,Dr. Melissa W. Thibault,0,0,0,0
Rao Rajaram Md,Dr. Rajaram Rao,0,0,0,0
Gastroenterology Associates Of Ithaca,Dr. Carl West,5.0,5.0,5.0,5.0
Aliasghar Mohyuddin Clinic Ithaca,Dr. Aliasghar Mohyuddin,0,0,0,0
Podiatry Services Of Ithaca,Dr. Victor Villagonzalo,2.6666666666666665,3.0,2.3333333333333335,2.3333333333333335
Stephen Meyer Clinic Ithaca,Dr. Stephen Meyer,0,0,0,0
Stephen Hughes Clinic Ithaca,Dr. Stephen Hughes,0,0,0,0
Gannett Health Services,Gregory Eells,0,0,0,0
Gannett Health Center,Dr. Janet Corson-Rikert,0,0,0,0
Gannett Health Services,Sharon Mier,1.0,1.0,1.0,1.0
Convenient Care Center,Dr. James L. Darling,0,0,0,0
Tompkins Dental Health,Dr. Michael Stahl,0,0,0,0
Jessie Varghese Phillips Clinic Ithaca,Dr. Jessie Varghese Phillips,0,0,0,0
Arrowhead Emergency Physicians,Dr. Shannon Mclellan,0,0,0,0
Zager Joanne Phd,Joanne Zager,0,0,0,0
Court St. Chiropractic Of Ithaca,Dr. Patti L. Jacobson,0,0,0,0
East Shore Dental Care,Dr. Janice H. Ormsby,5.0,4.0,5.0,5.0
Cotton Elisabeth Md,Dr. Elizabeth M. Cotton,4.285714285714286,4.428571428571429,4.571428571428571,4.714285714285714
David J. Skorton Clinic Ithaca,Dr. David J. Skorton,0,0,0,0
Brian Babiak M.d.,Dr. Brian D. Babiak,3.5,3.5,3.25,3.5
Surgical Associates Of Ithaca,Dr. William H. Phillips,5.0,5.0,5.0,5.0
Stevanovic Radomir Md,Dr. Radomir D. Stevanovic,0,0,0,0
Ithaca Orthopaedic Group Pc,Dr. Eldridge T. Anderson,5.0,3.8,2.8,3.2
Tompkins Dental Health,Dr. Raminder Singh,5.0,4.0,4.5,4.25
Veronica Guiry Clinic Ithaca,Dr. Veronica Guiry,5.0,3.0,4.5,4.5
John Weston Clinic Ithaca,Dr. John Weston,0,0,0,0
Cacciotti Leo R Dds,Dr. Leo R. Cacciotti,0,0,0,0
Purdy Chris Dds,Dr. Chris B. Purdy,0,0,0,0
Robert N. Rodgers Clinic Ithaca,Robert N. RODGERS,0,0,0,0
Guthrie Internal Medicine,Dr. Aliasghar A. Mohyuddin,3.642857142857143,3.7857142857142856,3.357142857142857,3.4285714285714284
"Dolly D. Shaffer, Psyd",Dolly D. Shaffer,0,0,0,0
"Ellen Cohen-Rosenthal, Psyd",Ellen Cohen-Rosenthal,0,0,0,0
Linda Radomski Clinic Ithaca,Dr. Linda Radomski,4.416666666666667,4.166666666666667,3.0833333333333335,3.6666666666666665
Paul T. Schwartz Clinic Ithaca,Dr. Paul T. Schwartz,0,0,0,0
Richard B. Rhodes Clinic Ithaca,Dr. Richard B. Rhodes,0,0,0,0
Ithaca Urology,Dr. Sami T. Husseini,2.0,2.0,1.0,3.0
Asthma & Allergy Associates Pc,Dr. Mary Jane Welch,0,0,0,0
Haltom Cristen E Phd,Cristen E. Haltom,0,0,0,0
Cayuga Ent Head & Neck Surger,Dr. Robert N. Strominger,2.2,3.0,2.2,2.8
Ithaca Family Chiropractic,Dr. Brian Bartholomew,0,0,0,0
Pancaldo Mia,Mia Pancaldo,0,0,0,0
Timothy M. Cardina Clinic Ithaca,Dr. Timothy M. Cardina,4.0,4.0,4.0,4.0
Ob-Gyn Associates Of Ithaca,Dr. Kathleen E. Gardner,0,0,0,0
David Monacelli Clinic Ithaca,Dr. David Monacelli,0,0,0,0
"Susan L. Wiser, Phd",Susan L. Wiser,0,0,0,0
Chris Devenpeck Clinic Ithaca,Dr. Chris Devenpeck,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665
John E. Mericle Clinic Ithaca,Dr. John E. Mericle,0,0,0,0
Orthopedic Surgery & Sports Medicine,Dr. Karen M. Dumont,4.0,5.0,4.0,5.0
Abelson Edward G Phd,Edward G. Abelson,0,0,0,0
"Dr. Andrew R. Getzin, Md",Dr. Bert Lemberg,0,0,0,0
Sarah E. Champion Clinic Ithaca,Sarah E. Champion,0,0,0,0
Leia Raphaelidis Clinic Ithaca,Leia Raphaelidis,0,0,0,0
Cayuga Family Dental Llc,Dr. Loveena Gupta,1.875,2.6875,1.5625,1.875
